               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.058016,             0.03372,            0.010073,             0.62964,             0.61185,             0.66326,             0.27931,            0.055908,            0.034439,           0.0097137,            0.006535,            0.006535,            0.006535
                  37,            0.057925,             0.03291,           0.0096421,             0.78984,             0.61538,             0.69073,             0.31884,             0.05467,            0.030159,           0.0089722,            0.006436,            0.006436,            0.006436
                  38,            0.056959,            0.034807,           0.0093508,             0.59495,             0.61538,             0.59365,             0.22017,            0.059853,            0.032265,            0.010152,            0.006337,            0.006337,            0.006337
                  39,            0.056249,            0.035057,           0.0090354,             0.80291,             0.68033,             0.75496,             0.34629,            0.052203,            0.031693,           0.0082397,            0.006238,            0.006238,            0.006238
                  40,            0.057052,            0.034485,            0.009043,             0.84261,             0.66923,             0.76438,             0.35805,            0.050158,            0.030964,            0.008609,            0.006139,            0.006139,            0.006139
                  41,            0.053496,            0.034096,           0.0086923,             0.64557,              0.6859,             0.65834,             0.21897,            0.055905,            0.035309,           0.0075691,             0.00604,             0.00604,             0.00604
                  42,            0.055511,            0.032515,           0.0080306,             0.66756,             0.58333,             0.62172,             0.19001,            0.064457,            0.034588,           0.0079224,            0.005941,            0.005941,            0.005941
                  43,            0.053139,            0.031621,           0.0081238,             0.53459,              0.5641,             0.57328,             0.24562,            0.052833,            0.043068,             0.01319,            0.005842,            0.005842,            0.005842
                  44,            0.054819,            0.034616,           0.0097902,             0.83983,             0.58333,             0.71196,             0.29349,            0.055864,            0.031158,           0.0070755,            0.005743,            0.005743,            0.005743
                  45,            0.053917,            0.032908,           0.0084059,             0.73588,             0.73331,             0.77352,             0.34861,            0.050088,            0.030853,           0.0082779,            0.005644,            0.005644,            0.005644
                  46,            0.051368,            0.033772,           0.0079017,             0.64931,             0.58974,             0.60778,             0.23134,            0.065128,            0.031921,            0.010121,            0.005545,            0.005545,            0.005545
                  47,            0.054503,            0.033774,           0.0080313,             0.72545,             0.67413,              0.7564,             0.36059,            0.053178,             0.03072,            0.010629,            0.005446,            0.005446,            0.005446
                  48,            0.052798,            0.033197,            0.007755,             0.77673,             0.62179,             0.72248,             0.35095,            0.051673,            0.028858,           0.0074356,            0.005347,            0.005347,            0.005347
                  49,            0.050799,            0.033962,            0.007762,             0.59255,             0.62179,             0.60058,             0.28857,            0.063854,             0.03233,             0.01069,            0.005248,            0.005248,            0.005248
                  50,            0.052154,            0.033088,           0.0075403,             0.80069,             0.70289,              0.7506,             0.37881,            0.050068,             0.02935,           0.0077896,            0.005149,            0.005149,            0.005149
                  51,             0.05088,             0.03156,           0.0067067,             0.82445,             0.69231,             0.76788,              0.3346,            0.050554,            0.029156,           0.0068642,             0.00505,             0.00505,             0.00505
                  52,            0.052058,            0.033483,            0.007178,             0.74712,             0.64188,               0.711,             0.28103,            0.052391,            0.029251,            0.010516,            0.004951,            0.004951,            0.004951
                  53,            0.050836,            0.032406,           0.0080831,             0.80957,             0.73091,              0.7786,             0.38703,             0.04941,            0.028549,           0.0091232,            0.004852,            0.004852,            0.004852
                  54,             0.05048,            0.030715,           0.0075872,              0.7877,             0.75779,              0.7875,             0.36279,            0.049911,            0.027706,           0.0077621,            0.004753,            0.004753,            0.004753
                  55,             0.05095,            0.031187,           0.0077949,             0.75544,             0.70377,             0.74875,             0.37083,            0.049752,            0.029011,           0.0084641,            0.004654,            0.004654,            0.004654
                  56,            0.048538,            0.031235,           0.0072954,             0.80977,             0.76968,             0.80034,             0.40494,            0.047145,            0.028477,           0.0072479,            0.004555,            0.004555,            0.004555
                  57,            0.049204,            0.031808,           0.0074145,             0.75555,             0.75641,             0.78626,             0.37433,             0.04794,            0.028664,           0.0075287,            0.004456,            0.004456,            0.004456
                  58,            0.048935,            0.030214,           0.0068461,             0.81969,             0.77564,             0.80017,             0.37163,            0.047289,            0.028107,           0.0076126,            0.004357,            0.004357,            0.004357
                  59,            0.049188,            0.031177,           0.0073232,             0.83571,             0.73328,             0.79185,             0.39965,            0.047206,            0.028557,           0.0071297,            0.004258,            0.004258,            0.004258
                  60,            0.050123,            0.032169,           0.0081962,             0.80236,             0.70056,              0.7692,             0.39575,            0.047679,            0.028366,           0.0086624,            0.004159,            0.004159,            0.004159
                  61,            0.050337,            0.030856,            0.007177,             0.80569,             0.76282,             0.79779,             0.36181,            0.050013,            0.028679,           0.0075104,             0.00406,             0.00406,             0.00406
                  62,             0.04729,            0.030377,           0.0070788,             0.84991,             0.67289,             0.78353,             0.40613,            0.047813,            0.029434,           0.0086487,            0.003961,            0.003961,            0.003961
                  63,            0.047774,            0.030218,           0.0067534,              0.8188,             0.71787,              0.7878,             0.39091,            0.048306,            0.027855,           0.0083649,            0.003862,            0.003862,            0.003862
                  64,            0.047866,            0.031445,           0.0070118,             0.77553,             0.69231,             0.74155,             0.36753,            0.048771,            0.026752,            0.010722,            0.003763,            0.003763,            0.003763
                  65,            0.047617,            0.031522,           0.0075055,             0.82362,             0.67987,             0.76084,             0.39273,            0.046141,            0.026619,            0.011887,            0.003664,            0.003664,            0.003664
                  66,            0.047649,            0.031964,           0.0073488,             0.73811,             0.69679,             0.71862,             0.34905,            0.046913,            0.027519,            0.015921,            0.003565,            0.003565,            0.003565
                  67,            0.046086,            0.030834,           0.0064428,             0.78045,                0.75,             0.74755,             0.37341,            0.047656,            0.027847,           0.0099319,            0.003466,            0.003466,            0.003466
                  68,            0.046996,            0.031051,           0.0069645,             0.75343,             0.79092,             0.79005,               0.415,            0.045958,            0.027122,           0.0074478,            0.003367,            0.003367,            0.003367
                  69,            0.048097,             0.03168,           0.0063117,             0.84116,             0.74359,             0.79267,             0.40149,            0.047565,            0.026821,           0.0077286,            0.003268,            0.003268,            0.003268
                  70,            0.046326,            0.029939,           0.0063848,             0.85002,             0.74359,             0.79758,             0.42152,            0.045007,            0.026337,           0.0076187,            0.003169,            0.003169,            0.003169
